sales_date,n
02/03/2014,1
02/04/2014,14
02/05/2014,12
02/06/2014,7
02/07/2014,8
02/10/2014,21
02/11/2014,16
02/12/2014,14
02/13/2014,9
02/14/2014,12
02/17/2014,18
02/18/2014,12
02/19/2014,6
02/20/2014,6
02/21/2014,11
02/24/2014,9
02/25/2014,5
02/26/2014,14
02/27/2014,12
02/28/2014,17
03/03/2014,28
03/04/2014,15
03/05/2014,10
03/06/2014,8
03/07/2014,10
03/10/2014,23
03/11/2014,15
03/12/2014,22
03/13/2014,7
03/15/2014,1
03/16/2014,1
03/17/2014,12
03/18/2014,12
03/19/2014,17
03/20/2014,6
03/21/2014,5
03/22/2014,3
03/23/2014,4
03/24/2014,12
03/25/2014,16
03/26/2014,6
03/27/2014,4
03/28/2014,21
03/29/2014,2
03/31/2014,21
04/01/2014,12
04/02/2014,13
04/03/2014,11
04/04/2014,9
04/07/2014,11
04/08/2014,5
04/09/2014,13
04/10/2014,14
04/11/2014,6
04/14/2014,23
04/15/2014,23
04/16/2014,9
04/17/2014,21
04/18/2014,13
04/19/2014,1
04/21/2014,8
04/22/2014,14
04/23/2014,18
04/24/2014,16
04/25/2014,9
04/26/2014,4
04/28/2014,7
04/29/2014,24
04/30/2014,13
05/01/2014,5
05/02/2014,18
05/03/2014,1
05/04/2014,6
05/05/2014,14
05/06/2014,15
05/07/2014,15
05/08/2014,20
05/09/2014,29
05/10/2014,1
05/11/2014,1
05/12/2014,39
05/13/2014,30
05/14/2014,20
05/15/2014,15
05/16/2014,31
05/17/2014,1
05/19/2014,19
05/20/2014,26
05/21/2014,14
05/22/2014,22
05/23/2014,10
05/24/2014,2
05/27/2014,14
05/28/2014,23
05/29/2014,45
05/30/2014,27
05/31/2014,5
06/01/2014,1
06/02/2014,52
06/03/2014,23
06/04/2014,19
06/05/2014,12
06/06/2014,16
06/07/2014,3
06/09/2014,15
06/10/2014,20
06/11/2014,18
06/12/2014,24
06/13/2014,19
06/14/2014,1
06/15/2014,1
06/16/2014,19
06/17/2014,16
06/18/2014,11
06/19/2014,22
06/20/2014,14
06/22/2014,1
06/23/2014,14
06/24/2014,19
06/25/2014,16
06/26/2014,135
06/27/2014,7
06/28/2014,1
06/30/2014,18
07/01/2014,24
07/02/2014,17
07/03/2014,7
07/04/2014,4
07/07/2014,19
07/08/2014,20
07/09/2014,16
07/10/2014,20
07/11/2014,14
07/12/2014,1
07/14/2014,23
07/15/2014,13
07/16/2014,13
07/17/2014,20
07/18/2014,14
07/19/2014,1
07/20/2014,3
07/21/2014,14
07/22/2014,14
07/23/2014,18
07/24/2014,22
07/25/2014,15
07/26/2014,1
07/28/2014,23
07/29/2014,22
07/30/2014,14
07/31/2014,33
08/01/2014,25
08/02/2014,3
08/04/2014,10
08/05/2014,17
08/06/2014,24
08/07/2014,19
08/08/2014,31
08/09/2014,1
08/11/2014,14
08/12/2014,32
08/13/2014,19
08/14/2014,18
08/15/2014,19
08/16/2014,2
08/18/2014,17
08/19/2014,19
08/20/2014,22
08/21/2014,7
08/22/2014,2
08/25/2014,26
08/26/2014,23
08/27/2014,27
08/28/2014,25
08/29/2014,17
08/30/2014,2
08/31/2014,1
09/02/2014,20
09/03/2014,21
09/04/2014,15
09/05/2014,23
09/06/2014,5
09/08/2014,23
09/09/2014,17
09/10/2014,17
09/11/2014,30
09/12/2014,30
09/13/2014,2
09/15/2014,18
09/16/2014,26
09/17/2014,17
09/18/2014,23
09/19/2014,23
09/20/2014,3
09/22/2014,17
09/23/2014,28
09/24/2014,60
09/25/2014,28
09/26/2014,27
09/27/2014,5
09/28/2014,1
